sample_id,view,true_id,true_gloss,pred_top1,pred_top1_id,top1_prob,top2,top3,top4,top5,top1_correct,top5_correct,llm_keywords,llm_sentence,llm_reliable,is_fallback,conf_band
P09_0021_front,front,21,鸡,鸡,21,0.2364,看1-1,妹妹,如果,奶奶,True,True,鸡 看1-1 妹妹,信心度不足 — 關鍵詞：鸡 看1-1 妹妹,False,False,low
P09_0071_front,front,71,跑,跑,71,0.7974,找,公园,感谢,有,True,True,跑 找 公园,跑去公園找找看。,True,False,high
P09_0090_front,front,90,答案,答案,90,0.7125,鸡蛋,水果,买,豆腐1-1,True,True,答案 鸡蛋 水果,答案是雞蛋和水果。,True,False,high
P09_0109_front,front,109,什么,什么,109,0.0934,因为1-1,8,没事,下课,True,True,什么 因为1-1 8,信心度不足 — 關鍵詞：什么 因为1-1 8,False,True,low
P09_0145_front,front,145,9,8,5575,0.1116,可以,明天,10,2,False,False,8 可以 明天,信心度不足 — 關鍵詞：8 可以 明天,False,True,low
P09_0165_front,front,165,水果,水果,165,0.7217,鸡蛋,红,忧愁,答案,True,True,水果 鸡蛋 红,水果和雞蛋都是紅色的。,True,False,high
P09_0198_front,front,198,是,小,5471,0.197,小孩儿,为什么,花,有,False,False,小 小孩儿 为什么,信心度不足 — 關鍵詞：小 小孩儿 为什么,False,False,low
P09_0246_front,front,246,拨,咖啡,5353,0.3411,喂,拨,足球,紧张,False,True,咖啡 喂 拨,咖啡已經沖好了，快來喝吧。,True,False,high
P09_0289_front,front,289,新1-1,新1-1,289,0.4078,写字,坐,鞋,在,True,True,新1-1 写字 坐,他正坐著寫字。,True,False,high
P09_0300_front,front,300,鱼,鱼,300,0.8037,快,累,腹,舒服,True,True,鱼 快 累,魚很快就游累了。,True,False,high
P09_0356_front,front,356,菜,厕所,6149,0.0593,可以,什么,以后,不,False,False,厕所 可以 什么,信心度不足 — 關鍵詞：厕所 可以 什么,False,True,low
P09_0369_front,front,369,慢1-1,也,5086,0.2172,失败1-1,慢1-1,没有1-1,少,False,True,也 失败1-1 慢1-1,信心度不足 — 關鍵詞：也 失败1-1 慢1-1,False,False,low
P09_0396_front,front,396,父亲,父亲,396,0.1836,渴,母亲,紫,喜欢,True,True,父亲 渴 母亲,信心度不足 — 關鍵詞：父亲 渴 母亲,False,False,low
P09_0457_front,front,457,大寒,大寒,457,0.3811,对,超市,参加,大,True,True,大寒 对 超市,大寒那天我們去了超市。,True,False,high
P09_0477_front,front,477,快,快,477,0.697,鱼,他们,努力,晚上,True,True,快 鱼 他们,他們很快就釣到了魚。,True,False,high
P09_0488_front,front,488,我们,大家,5599,0.2322,我们,他们,你们,多,False,True,大家 我们 他们,信心度不足 — 關鍵詞：大家 我们 他们,False,False,low
P09_0514_front,front,514,苹果,苹果,514,0.5474,写字,新1-1,干净,担心,True,True,苹果 写字 新1-1,蘋果正在寫字，這是全新的開始。,True,False,high
P09_0526_front,front,526,学生,学生,526,0.4961,椅子,朋友,和,肉,True,True,学生 椅子 朋友,學生坐在椅子上和朋友聊天。,True,False,high
P09_0534_front,front,534,不同,大,3609,0.8159,不同,桌子,超市,高兴,False,True,大 不同 桌子,這張桌子看起來相當與眾不同。,True,False,high
P09_0557_front,front,557,葡萄,葡萄,557,0.8561,答案,香蕉,超市,红,True,True,葡萄 答案 香蕉,葡萄的答案是香蕉。,True,False,high
P09_0603_front,front,603,来,下课,6307,0.1227,失败1-1,走,好,散步,False,False,下课 失败1-1 走,信心度不足 — 關鍵詞：下课 失败1-1 走,False,True,low
P09_0639_front,front,639,大雨,大雨,639,0.9214,树1-1,书包,等,美,True,True,大雨 树1-1 书包,大雨中，樹下放著一個書包。,True,False,high
P09_0805_front,front,805,成功1-1,茶,2533,0.3327,不同,拨,帮助,成功1-1,False,True,茶 不同 拨,茶的種類各有不同。,True,False,high
P09_0869_front,front,869,回家1-1,同学1-1,1104,0.7684,回家1-1,豆腐1-1,食堂,作业,False,True,同学1-1 回家1-1 豆腐1-1,同學回家吃豆腐。,True,False,high
P09_0927_front,front,927,不,法国,2558,0.1411,赌气,渴,恐怕,衣服,False,False,法国 赌气 渴,信心度不足 — 關鍵詞：法国 赌气 渴,False,True,low
P09_0930_front,front,930,但是1-1,为什么,3492,0.1716,花,少,没有1-1,需要1-1,False,False,为什么 花 少,信心度不足 — 關鍵詞：为什么 花 少,False,False,low
P09_0963_front,front,963,容易,听,4691,0.1688,容易,黑,知道,忘记,False,True,听 容易 黑,信心度不足 — 關鍵詞：听 容易 黑,False,False,low
P09_0968_front,front,968,牛奶,牛奶,968,0.6743,高,黑,谁,热1-2,True,True,牛奶 高 黑,牛奶放得太久已經變黑了。,True,False,high
P09_1104_front,front,1104,同学1-1,同学1-1,1104,0.7156,回家1-1,食堂,豆腐1-1,作业,True,True,同学1-1 回家1-1 食堂,同學從食堂回家。,True,False,high
P09_1224_front,front,1224,早上1-1,英俊,2217,0.2862,我们,早上1-1,多,所以1-1,False,True,英俊 我们 早上1-1,英俊的他在早上與我們見面。,True,False,high
P09_1230_front,front,1230,6,8,5575,0.1096,他,可以,5,什么,False,False,8 他 可以,信心度不足 — 關鍵詞：8 他 可以,False,True,low
